id,preis,wohflaeche,grundstuecksflaeche,badezimmer,schlafzimmer,baujahr,garage,kamin,pool,umbau
401,120666,220,889,2,3,1991,Ja,Nein,Nein,Ja
402,88614,300,919,2,5,1879,Ja,Nein,Nein,Ja
403,94270,202,891,1,3,1925,Ja,Nein,Nein,Ja
404,133486,210,1288,2,3,1998,Ja,Nein,Nein,Nein
405,150757,261,1042,2,4,1998,Ja,Ja,Nein,Ja
406,192311,301,1253,3,3,2005,Ja,Ja,Nein,Nein
407,145176,231,1187,2,3,2004,Ja,Nein,Nein,Ja
408,127453,317,1093,1,3,1955,Ja,Ja,Nein,Nein
409,75416,165,664,1,3,1966,Ja,Nein,Nein,Nein
410,113049,273,1651,1,3,1958,Ja,Ja,Nein,Nein
411,138765,303,1153,3,3,1986,Ja,Ja,Nein,Nein
412,118026,274,781,2,3,1958,Ja,Ja,Nein,Nein
413,79187,168,842,1,2,1940,Ja,Nein,Nein,Ja
414,141405,234,810,2,3,1995,Ja,Ja,Nein,Ja
415,96532,199,892,2,2,1950,Ja,Nein,Nein,Ja
416,125191,258,1108,2,3,1957,Ja,Ja,Nein,Nein
417,124436,256,1236,2,3,1954,Ja,Ja,Nein,Nein
418,105582,149,343,2,2,2005,Ja,Nein,Nein,Nein
419,101435,176,870,1,3,1962,Ja,Nein,Nein,Ja
420,76924,192,824,1,2,1951,Ja,Nein,Nein,Nein
421,75416,156,1005,1,2,1884,Ja,Nein,Nein,Ja
422,130470,223,1312,2,3,1965,Ja,Nein,Nein,Nein
423,116895,141,412,2,1,1979,Ja,Ja,Nein,Nein
424,285827,346,1129,3,3,2005,Ja,Ja,Nein,Nein
425,173457,245,464,3,2,2007,Ja,Ja,Nein,Ja
426,135673,195,1087,2,3,1968,Ja,Ja,Nein,Nein
427,90424,160,670,1,3,1974,Ja,Nein,Nein,Nein
428,131978,276,1136,2,3,1972,Ja,Ja,Nein,Nein
429,122928,224,1004,2,3,1904,Ja,Ja,Nein,Ja
430,130470,228,847,1,4,1968,Ja,Nein,Nein,Ja
431,118780,202,870,1,4,1965,Ja,Ja,Nein,Nein
432,112747,267,752,1,4,1914,Ja,Ja,Nein,Ja
433,116367,315,1077,2,5,1959,Ja,Nein,Nein,Nein
434,100303,227,568,1,3,1936,Ja,Nein,Nein,Ja
435,130093,167,911,2,3,2007,Ja,Nein,Nein,Ja
436,218706,347,1108,2,4,1994,Ja,Ja,Nein,Nein
437,126322,236,864,2,3,1959,Ja,Ja,Nein,Nein
438,95778,206,248,2,4,1977,Ja,Ja,Nein,Nein
439,110107,215,650,1,3,1961,Ja,Nein,Nein,Nein
440,95024,289,805,2,4,1968,Ja,Nein,Nein,Nein
441,105205,223,849,2,4,1900,Ja,Nein,Nein,Ja
442,48266,124,445,1,2,1941,Ja,Nein,Nein,Ja
443,102189,179,557,2,3,1955,Ja,Nein,Nein,Nein
444,99549,158,569,1,2,1928,Ja,Nein,Nein,Ja
445,101812,206,971,1,3,1957,Ja,Nein,Nein,Nein
446,167424,297,1209,2,4,1997,Ja,Ja,Nein,Nein
447,112219,154,474,2,2,2003,Ja,Nein,Nein,Nein
448,115386,257,812,1,3,1957,Ja,Nein,Nein,Nein
449,197801,351,1100,3,4,1991,Ja,Ja,Nein,Nein
450,110107,192,857,2,1,1963,Ja,Nein,Nein,Ja
451,93516,176,465,1,3,1940,Ja,Nein,Nein,Ja
452,104074,183,749,2,3,1995,Ja,Nein,Nein,Ja
453,195327,338,1312,2,3,2005,Ja,Ja,Nein,Ja
454,96532,208,587,2,3,1913,Nein,Ja,Nein,Ja
455,245102,372,1254,3,3,1893,Ja,Ja,Nein,Ja
456,143253,216,710,1,3,1917,Ja,Ja,Nein,Ja
457,126699,223,962,2,3,1994,Ja,Ja,Nein,Ja
458,161013,292,1340,4,3,1987,Ja,Ja,Nein,Ja
459,166669,281,1557,2,4,1998,Ja,Nein,Nein,Nein
460,77829,164,512,1,1,1957,Nein,Nein,Nein,Nein
461,160636,269,812,3,3,2002,Ja,Ja,Nein,Nein
462,161390,263,1358,2,4,2006,Ja,Ja,Nein,Nein
463,97287,174,546,2,2,1955,Ja,Nein,Nein,Ja
464,82958,182,905,2,2,1958,Ja,Nein,Nein,Nein
465,114255,216,1100,2,3,1985,Ja,Nein,Nein,Nein
466,112747,195,728,1,3,1978,Ja,Ja,Nein,Nein
467,134542,180,1126,2,3,1962,Ja,Nein,Nein,Ja
468,69006,210,705,2,4,1949,Ja,Ja,Nein,Ja
469,221723,284,1074,3,3,2005,Ja,Nein,Nein,Ja
470,282810,386,19999,4,3,1964,Ja,Ja,Nein,Nein
471,95024,214,557,1,3,1966,Ja,Ja,Nein,Nein
472,138388,215,1130,3,2,1980,Ja,Ja,Nein,Nein
473,231527,314,937,3,3,2003,Ja,Ja,Nein,Ja
474,131978,313,920,2,2,1966,Ja,Nein,Nein,Nein
475,182884,302,2193,2,3,1980,Ja,Ja,Nein,Nein
476,96683,166,990,2,3,1976,Ja,Nein,Nein,Nein
477,84466,178,830,2,4,1979,Ja,Nein,Nein,Nein
478,126623,249,897,2,2,1977,Ja,Ja,Nein,Nein
479,75341,159,379,1,2,1921,Nein,Nein,Nein,Ja
480,148947,245,958,3,4,1976,Ja,Ja,Nein,Nein
481,107091,187,1073,1,3,1953,Ja,Nein,Nein,Ja
482,147061,218,2022,1,3,1921,Ja,Ja,Nein,Ja
483,100303,195,1130,1,3,1950,Ja,Ja,Nein,Ja
484,148192,235,665,2,3,2003,Ja,Ja,Nein,Ja
485,103320,181,461,2,3,1931,Ja,Ja,Nein,Ja
486,149324,313,1921,2,3,1972,Ja,Ja,Nein,Nein
487,203623,266,1111,2,1,1988,Ja,Ja,Nein,Nein
488,81374,168,558,1,2,1954,Ja,Nein,Nein,Ja
489,180244,335,1109,2,2,2007,Ja,Nein,Nein,Nein
490,77678,207,941,1,3,1910,Nein,Nein,Nein,Ja
491,124813,205,845,2,1,1977,Ja,Ja,Nein,Nein
492,83712,170,952,1,3,1954,Ja,Nein,Nein,Nein
493,104828,203,1080,1,3,1961,Ja,Ja,Nein,Nein
494,162144,302,1428,2,4,1969,Ja,Ja,Nein,Nein
495,110032,323,813,4,4,1901,Nein,Nein,Nein,Ja
496,139520,215,1040,3,3,1995,Ja,Ja,Nein,Nein
497,105130,163,692,1,3,1931,Ja,Ja,Nein,Ja
498,92762,165,727,2,3,1966,Ja,Ja,Nein,Nein
499,252644,324,963,3,3,2007,Ja,Ja,Nein,Nein
500,107845,196,791,2,3,1972,Ja,Nein,Nein,Nein
501,59956,152,144,1,3,1970,Nein,Nein,Nein,Nein
502,80130,119,1004,2,3,1900,Nein,Nein,Nein,Ja
503,116895,208,808,3,3,1961,Ja,Nein,Nein,Nein
504,93516,191,651,2,3,1963,Nein,Nein,Nein,Nein
505,182130,257,379,3,2,1983,Ja,Ja,Nein,Nein
506,186202,248,1601,2,1,2000,Ja,Ja,Nein,Ja
507,245102,338,1041,2,4,2005,Ja,Ja,Nein,Ja
508,104074,229,1318,2,3,1889,Nein,Nein,Nein,Ja
509,162144,277,2005,2,3,1968,Ja,Ja,Nein,Nein
510,84466,150,479,1,2,1959,Ja,Nein,Nein,Ja
511,172703,316,1286,2,4,1986,Ja,Nein,Nein,Nein
512,90876,160,647,1,3,1970,Ja,Nein,Nein,Nein
513,143290,234,893,2,3,1977,Ja,Ja,Nein,Nein
514,105545,213,733,2,3,1961,Ja,Nein,Nein,Nein
515,86728,188,365,1,3,1926,Ja,Nein,Nein,Ja
516,142159,296,886,2,2,1992,Ja,Ja,Nein,Nein
517,93516,172,767,1,2,1951,Ja,Ja,Nein,Nein
518,101812,211,1022,2,3,1976,Ja,Nein,Nein,Ja
519,130093,275,1267,3,4,1957,Ja,Ja,Nein,Nein
520,99926,204,558,1,4,1940,Ja,Ja,Nein,Ja
521,73908,95,723,1,2,1956,Ja,Nein,Nein,Nein
522,105582,202,708,2,4,1901,Ja,Ja,Nein,Ja
523,105582,216,892,1,3,1968,Ja,Nein,Nein,Nein
524,79941,138,174,1,2,1970,Ja,Nein,Nein,Nein
525,134240,231,320,2,1,2004,Ja,Nein,Nein,Ja
526,197967,292,836,3,3,2008,Ja,Nein,Nein,Nein
527,119911,225,1236,2,2,1956,Ja,Nein,Nein,Ja
528,143215,238,1285,2,3,1998,Ja,Ja,Nein,Ja
529,64481,154,176,1,3,1973,Ja,Nein,Nein,Nein
530,144799,240,840,3,3,1997,Ja,Ja,Nein,Nein
531,105582,170,1512,1,3,1978,Ja,Nein,Nein,Nein
532,113124,189,1415,2,3,1977,Ja,Nein,Nein,Ja
533,141405,186,893,3,3,2004,Ja,Ja,Nein,Nein
534,159052,288,2001,2,4,1996,Ja,Ja,Nein,Ja
535,85974,171,422,1,3,1910,Ja,Nein,Nein,Ja
536,107845,183,905,2,3,1994,Ja,Nein,Nein,Nein
537,157619,230,756,3,3,2003,Ja,Nein,Nein,Nein
538,88991,130,873,1,2,1947,Nein,Nein,Nein,Ja
539,257923,432,1215,2,5,2003,Ja,Ja,Nein,Nein
540,107091,163,1435,2,2,1949,Ja,Nein,Nein,Ja
541,118403,234,1014,2,2,1961,Ja,Ja,Nein,Nein
542,111616,217,1028,3,3,1975,Ja,Nein,Nein,Nein
543,181753,247,756,3,2,2006,Ja,Nein,Nein,Ja
544,141405,266,1278,2,3,1992,Ja,Ja,Nein,Ja
545,79564,150,157,1,3,1971,Ja,Nein,Nein,Nein
546,164030,287,1208,3,3,1977,Ja,Ja,Nein,Nein
547,218706,319,1094,2,4,1999,Ja,Ja,Nein,Ja
548,133863,210,697,1,3,1942,Ja,Ja,Nein,Ja
549,87483,141,176,1,3,1974,Ja,Nein,Nein,Nein
550,154603,255,663,2,2,2008,Ja,Ja,Nein,Nein
551,98041,176,1045,2,3,1963,Ja,Nein,Nein,Nein
552,153849,279,961,3,3,1999,Ja,Nein,Nein,Nein
553,130470,214,859,3,3,1993,Ja,Nein,Nein,Nein
554,122551,229,1034,2,3,1985,Ja,Nein,Nein,Nein
555,114255,179,1189,1,2,1960,Ja,Nein,Nein,Ja
556,100303,205,968,2,3,1954,Ja,Nein,Nein,Ja
557,124436,259,885,1,4,1963,Ja,Ja,Nein,Ja
558,97664,226,934,2,3,1955,Ja,Nein,Nein,Nein
559,98041,207,512,2,3,1932,Ja,Nein,Nein,Ja
560,221120,295,948,3,3,2008,Ja,Ja,Nein,Nein
561,102943,168,639,2,1,1926,Ja,Ja,Nein,Ja
562,210788,338,1187,3,3,2003,Ja,Ja,Nein,Ja
563,105582,159,782,2,3,1969,Ja,Nein,Nein,Nein
564,186270,266,274,3,2,2000,Ja,Ja,Nein,Nein
565,119157,241,1449,3,3,1951,Ja,Ja,Nein,Ja
566,71268,138,157,1,2,1971,Ja,Ja,Nein,Nein
567,84089,261,513,1,4,1920,Ja,Ja,Nein,Ja
568,156488,304,468,3,3,1985,Ja,Ja,Nein,Nein
569,116895,225,1151,1,3,1956,Ja,Nein,Nein,Ja
570,184317,319,2239,2,4,1940,Ja,Ja,Nein,Ja
571,101812,173,835,1,2,1899,Ja,Ja,Nein,Ja
572,214181,292,1007,3,2,2003,Ja,Ja,Nein,Ja
573,122174,197,1202,1,3,1972,Ja,Ja,Nein,Nein
574,108524,263,1270,1,3,1961,Ja,Ja,Nein,Nein
575,121420,193,855,2,3,1965,Ja,Nein,Nein,Nein
576,159882,244,474,2,1,1990,Ja,Ja,Nein,Nein
577,119911,169,1031,2,2,1997,Ja,Nein,Nein,Nein
578,244348,320,1009,3,1,1992,Ja,Ja,Nein,Nein
579,139520,198,908,2,3,1994,Ja,Ja,Nein,Nein
580,114632,212,696,2,3,2006,Ja,Nein,Nein,Nein
581,88991,193,689,2,2,1942,Ja,Ja,Nein,Ja
582,148570,258,813,2,4,2001,Ja,Nein,Nein,Nein
583,90876,161,838,1,3,1969,Ja,Nein,Nein,Nein
584,251889,388,1024,3,3,1992,Ja,Ja,Nein,Ja
585,108222,180,763,1,3,1977,Ja,Ja,Nein,Nein
586,141028,257,770,2,3,1995,Ja,Nein,Nein,Ja
587,165538,266,812,2,4,2003,Ja,Ja,Nein,Nein
588,150832,304,749,2,4,2002,Ja,Ja,Nein,Nein
589,165915,282,1068,3,4,1996,Ja,Ja,Nein,Ja
590,132732,204,1122,2,3,1982,Ja,Ja,Nein,Ja
591,136880,237,892,2,3,1978,Ja,Ja,Nein,Nein
592,112370,213,669,1,3,1931,Ja,Ja,Nein,Ja
593,152717,262,1314,3,3,1983,Ja,Nein,Nein,Ja
594,207771,318,940,3,3,2006,Ja,Ja,Nein,Nein
595,104451,197,1324,2,3,1900,Ja,Nein,Nein,Ja
596,116895,196,237,3,3,1998,Ja,Nein,Nein,Nein
597,51361,79,1029,1,1,1939,Ja,Nein,Nein,Ja
598,113124,277,580,2,4,1939,Ja,Ja,Nein,Ja
599,153094,280,941,2,3,2003,Ja,Nein,Nein,Nein
600,163276,264,728,3,4,2001,Ja,Ja,Nein,Nein
601,81072,312,614,2,4,1893,Ja,Nein,Nein,Ja
602,139143,244,476,3,1,2005,Ja,Ja,Nein,Nein
603,101397,214,930,1,2,1954,Ja,Ja,Nein,Ja
604,143290,324,994,2,2,1956,Ja,Ja,Nein,Ja
605,97664,195,557,1,3,1950,Ja,Nein,Nein,Ja
606,141782,235,939,3,3,2003,Ja,Nein,Nein,Nein
607,106337,216,738,2,3,1960,Ja,Nein,Nein,Nein
608,85597,122,835,1,2,1958,Ja,Ja,Nein,Nein
609,225306,334,1063,3,3,2007,Ja,Ja,Nein,Nein
610,113501,193,817,2,3,1976,Ja,Nein,Nein,Ja
611,116895,157,670,2,3,1937,Ja,Nein,Nein,Ja
612,85974,237,1040,2,3,1963,Ja,Nein,Nein,Nein
613,160636,253,641,2,2,2005,Ja,Ja,Nein,Nein
614,99549,180,743,2,2,1948,Ja,Ja,Nein,Ja
615,159882,229,994,3,3,1996,Ja,Ja,Nein,Nein
616,55054,118,138,2,1,1970,Nein,Nein,Nein,Nein
617,70137,203,557,2,3,1954,Ja,Nein,Nein,Nein
618,113124,182,837,2,3,1995,Ja,Nein,Nein,Nein
619,62218,106,635,2,2,1953,Nein,Nein,Nein,Nein
620,105582,213,854,2,3,1965,Ja,Ja,Nein,Nein
621,190802,316,1099,2,2,2008,Ja,Ja,Nein,Nein
622,188314,309,1031,2,3,2007,Ja,Nein,Nein,Nein
623,67799,81,939,1,1,1949,Ja,Nein,Nein,Ja
624,135749,180,1994,2,1,1969,Ja,Ja,Nein,Nein
625,105582,199,1283,1,3,1959,Ja,Nein,Nein,Ja
626,111993,214,213,2,3,1980,Ja,Ja,Nein,Nein
627,405738,458,4972,4,4,2002,Ja,Ja,Nein,Nein
628,84089,269,719,2,4,1901,Ja,Nein,Nein,Ja
629,112370,187,1003,2,4,1941,Ja,Nein,Nein,Ja
630,82958,161,683,1,2,1970,Ja,Nein,Nein,Nein
631,230019,290,382,3,2,1997,Ja,Ja,Nein,Ja
632,114255,231,1004,2,3,1961,Ja,Nein,Nein,Nein
633,107468,196,214,2,2,1978,Ja,Nein,Nein,Nein
634,134240,228,855,2,3,1986,Ja,Ja,Nein,Nein
635,203465,291,921,3,3,1997,Ja,Ja,Nein,Ja
636,254529,317,1159,3,3,2005,Ja,Ja,Nein,Ja
637,105205,189,1322,1,3,1995,Ja,Nein,Nein,Nein
638,51283,132,1013,1,2,1928,Ja,Nein,Nein,Ja
639,65612,117,454,1,2,1936,Ja,Nein,Nein,Ja
640,245856,342,1490,3,3,2004,Ja,Ja,Nein,Ja
641,90499,187,558,1,3,1929,Ja,Ja,Nein,Ja
642,101812,215,967,2,3,1915,Ja,Nein,Nein,Ja
643,130847,266,940,2,3,2004,Ja,Nein,Nein,Ja
644,164784,339,971,3,4,1965,Ja,Nein,Nein,Nein
645,188540,285,1068,1,3,1937,Ja,Ja,Nein,Ja
646,260185,311,369,3,2,1997,Ja,Ja,Nein,Ja
647,50529,161,767,2,2,1915,Nein,Nein,Nein,Ja
648,98984,138,717,1,2,1994,Ja,Nein,Nein,Ja
649,83900,161,1184,1,3,1971,Ja,Nein,Nein,Nein
650,104828,255,875,2,4,1973,Nein,Nein,Nein,Nein
651,105582,230,1244,2,3,1970,Ja,Ja,Nein,Ja
652,96910,161,887,1,3,1972,Ja,Nein,Nein,Nein
653,60710,87,581,1,2,1947,Nein,Nein,Nein,Ja
654,115386,242,868,2,3,1961,Ja,Ja,Nein,Ja
655,141028,238,863,2,3,1991,Ja,Nein,Nein,Nein
656,67497,191,417,2,2,1923,Ja,Ja,Nein,Ja
657,101812,161,751,2,3,1960,Ja,Ja,Nein,Ja
658,106714,169,691,2,2,1960,Ja,Ja,Nein,Nein
659,84466,178,649,2,2,1925,Ja,Nein,Nein,Ja
660,135372,271,780,2,4,1939,Ja,Ja,Nein,Ja
661,100303,142,785,2,2,1970,Ja,Nein,Nein,Ja
662,93516,295,832,2,4,1967,Ja,Nein,Nein,Nein
663,107845,214,215,2,4,1973,Ja,Nein,Nein,Nein
664,133486,261,702,1,3,1930,Ja,Ja,Nein,Ja
665,167046,297,835,2,2,2006,Ja,Ja,Nein,Ja
666,109353,180,832,2,2,1925,Ja,Ja,Nein,Ja
667,60333,148,1132,2,2,1941,Ja,Nein,Nein,Ja
668,139520,188,363,2,1,1989,Ja,Ja,Nein,Nein
669,76170,153,669,1,3,1922,Ja,Nein,Nein,Ja
670,120666,193,944,2,3,1993,Ja,Ja,Nein,Nein
671,168932,272,1372,2,3,1953,Ja,Ja,Nein,Ja
672,131224,280,964,2,3,1970,Ja,Ja,Nein,Nein
673,136126,265,944,2,3,1964,Ja,Ja,Nein,Nein
674,82958,172,742,1,3,1975,Ja,Nein,Nein,Nein
675,54677,67,614,1,2,1948,Ja,Nein,Nein,Ja
676,196383,320,985,3,3,1997,Ja,Ja,Nein,Nein
677,135673,230,1026,2,3,2008,Ja,Nein,Nein,Nein
678,67874,121,1003,2,2,1968,Ja,Nein,Nein,Nein
679,104451,167,784,2,3,1967,Ja,Ja,Nein,Ja
680,279039,416,1529,2,4,2003,Ja,Ja,Nein,Nein
681,124436,227,417,3,2,1999,Ja,Nein,Nein,Nein
682,61012,130,481,1,2,1910,Ja,Nein,Nein,Ja
683,150832,258,1250,3,3,2000,Ja,Nein,Nein,Nein
684,161006,267,279,2,2,2005,Ja,Ja,Nein,Nein
685,214936,306,1045,3,3,2001,Ja,Ja,Nein,Nein
686,164407,254,1146,2,3,1993,Ja,Ja,Nein,Nein
687,110711,193,1053,2,3,1976,Ja,Ja,Nein,Nein
688,84466,154,815,2,3,1984,Nein,Nein,Nein,Nein
689,96532,183,845,2,3,1964,Ja,Ja,Nein,Nein
690,82958,205,772,1,2,1962,Ja,Nein,Nein,Nein
691,248873,358,840,2,4,1994,Ja,Ja,Nein,Ja
692,96985,290,751,2,4,1958,Ja,Nein,Nein,Nein
693,165915,264,1046,1,3,1933,Ja,Ja,Nein,Ja
694,100303,171,735,1,3,1971,Ja,Nein,Nein,Ja
695,90499,168,558,1,3,1940,Ja,Nein,Nein,Ja
696,142913,239,946,2,3,1998,Ja,Ja,Nein,Nein
697,97588,195,556,1,3,1905,Nein,Nein,Nein,Ja
698,96910,184,925,2,3,1959,Ja,Nein,Nein,Nein
699,156111,249,1212,1,4,1922,Ja,Ja,Nein,Ja
700,130470,224,924,3,3,1991,Ja,Nein,Nein,Ja
701,132732,213,951,2,3,2004,Ja,Ja,Nein,Ja
702,188540,282,870,2,3,2003,Ja,Ja,Nein,Ja
703,188540,388,1551,4,5,1977,Ja,Ja,Ja,Nein
704,144799,265,838,3,3,1998,Ja,Nein,Nein,Nein
705,131978,261,1062,3,3,1989,Ja,Ja,Nein,Nein
706,108599,208,892,2,2,1955,Ja,Nein,Nein,Nein
707,108599,161,853,2,2,1983,Ja,Nein,Nein,Nein
708,96532,170,556,1,3,1940,Ja,Ja,Nein,Ja
709,116895,273,1219,3,3,1957,Ja,Ja,Nein,Ja
710,129716,248,1327,1,3,1958,Ja,Nein,Nein,Nein
711,159882,276,633,2,1,1986,Ja,Nein,Nein,Nein
712,108674,239,779,2,3,1909,Ja,Nein,Nein,Ja
713,175492,319,860,3,3,2004,Ja,Nein,Nein,Nein
714,85220,187,464,1,3,1926,Ja,Nein,Nein,Ja
715,146835,251,705,2,2,2005,Ja,Ja,Nein,Ja
716,161202,218,357,2,1,1979,Ja,Ja,Nein,Ja
717,126699,244,1315,2,3,1957,Ja,Ja,Nein,Ja
718,103320,197,977,1,3,1958,Ja,Nein,Nein,Ja
719,117988,170,906,2,2,1976,Ja,Ja,Nein,Nein
720,96532,219,727,1,2,1969,Ja,Nein,Nein,Nein
721,240389,316,1363,3,2,1977,Ja,Ja,Nein,Ja
722,88237,118,666,1,3,1972,Ja,Nein,Nein,Ja
723,107845,172,743,2,2,1980,Ja,Ja,Nein,Nein
724,418559,510,1432,3,2,2007,Ja,Ja,Nein,Nein
725,169686,270,725,4,3,1947,Ja,Nein,Nein,Ja
726,101057,202,767,1,3,1968,Ja,Ja,Nein,Nein
727,99361,178,596,2,2,1958,Ja,Nein,Nein,Ja
728,144799,255,1144,2,2,2005,Ja,Ja,Nein,Nein
729,56562,105,947,1,2,1926,Ja,Nein,Nein,Ja
730,214181,449,988,3,3,2004,Ja,Ja,Nein,Ja
731,113049,183,778,2,3,1978,Ja,Nein,Nein,Nein
732,144799,270,812,2,3,2001,Ja,Ja,Nein,Nein
733,97664,259,891,1,3,1917,Ja,Ja,Nein,Ja
734,105582,156,413,2,1,2004,Ja,Nein,Nein,Nein
735,210939,279,879,2,1,1994,Ja,Ja,Nein,Ja
736,101736,159,674,2,2,1982,Ja,Nein,Nein,Nein
737,95778,195,697,1,3,1947,Ja,Nein,Nein,Ja
738,94421,195,585,2,3,1973,Ja,Ja,Nein,Nein
739,142536,298,914,3,4,1920,Ja,Nein,Nein,Ja
740,70816,151,139,1,3,1969,Nein,Nein,Nein,Nein
741,104074,194,749,2,3,1948,Ja,Nein,Nein,Ja
742,109353,274,663,2,4,1945,Ja,Nein,Nein,Ja
743,178736,271,1045,3,4,1995,Ja,Ja,Nein,Ja
744,146684,231,679,3,2,2007,Ja,Nein,Nein,Nein
745,95778,161,695,2,3,1971,Ja,Nein,Nein,Nein
746,146307,259,1501,2,2,1977,Ja,Ja,Nein,Nein
747,145553,245,988,2,3,2003,Ja,Nein,Nein,Nein
748,162144,268,1906,2,3,1986,Ja,Ja,Nein,Ja
749,169309,279,817,2,5,1964,Ja,Ja,Nein,Ja
750,146684,243,1006,2,3,1995,Ja,Ja,Nein,Ja
751,82958,186,324,1,2,1948,Ja,Nein,Nein,Ja
752,147815,291,912,3,2,1977,Ja,Ja,Nein,Nein
753,114632,170,235,3,2,2005,Ja,Nein,Nein,Nein
754,113878,159,789,2,3,1976,Ja,Ja,Nein,Ja
755,200984,325,839,2,4,1942,Ja,Ja,Nein,Ja
756,75416,151,826,2,2,1940,Ja,Ja,Nein,Ja
757,143290,228,360,2,1,1979,Ja,Ja,Nein,Nein
758,135749,167,719,2,3,1999,Ja,Ja,Nein,Nein
759,96721,217,806,2,3,1951,Ja,Nein,Nein,Nein
760,143290,371,1754,2,4,1977,Ja,Ja,Nein,Nein
761,104828,216,1007,1,3,1924,Ja,Ja,Nein,Ja
762,93516,167,121,1,2,1979,Ja,Ja,Nein,Nein
763,103320,157,812,2,2,1983,Ja,Nein,Nein,Nein
764,74662,173,884,1,2,1954,Ja,Nein,Nein,Nein
765,67497,137,157,1,2,1972,Ja,Nein,Nein,Nein
766,115386,136,715,1,3,1977,Ja,Ja,Nein,Nein
767,161390,283,945,2,3,2004,Ja,Nein,Nein,Nein
768,218706,263,405,2,2,2002,Ja,Ja,Nein,Nein
769,203623,253,987,3,3,2006,Ja,Ja,Nein,Nein
770,108599,221,883,2,2,1959,Ja,Ja,Nein,Ja
771,98795,181,556,1,3,1941,Ja,Ja,Nein,Ja
772,180923,275,979,3,3,1992,Ja,Ja,Nein,Ja
773,131224,238,836,2,3,1978,Ja,Ja,Nein,Nein
774,130470,287,1418,2,3,1960,Ja,Ja,Nein,Nein
775,141028,241,882,3,3,2000,Ja,Ja,Nein,Nein
776,162144,264,929,2,3,2003,Ja,Ja,Nein,Nein
777,164407,268,1000,3,3,1976,Ja,Ja,Nein,Ja
778,142536,268,791,2,3,2001,Ja,Ja,Nein,Nein
779,81072,78,670,1,2,1953,Ja,Ja,Nein,Ja
780,108599,170,1206,2,2,1962,Ja,Nein,Nein,Nein
781,139520,237,943,2,3,1999,Ja,Ja,Nein,Nein
782,162144,247,654,4,2,1997,Ja,Nein,Nein,Nein
783,266973,335,1124,3,4,2004,Ja,Ja,Nein,Nein
784,128207,248,1569,1,2,1960,Ja,Ja,Nein,Nein
785,65612,141,466,1,2,1941,Ja,Nein,Nein,Ja
786,127076,172,793,2,3,1994,Ja,Ja,Nein,Ja
787,192688,317,1035,2,3,2005,Ja,Ja,Nein,Nein
788,182507,246,2568,3,4,1960,Ja,Ja,Nein,Ja
789,112747,279,1129,2,2,1954,Ja,Ja,Nein,Nein
790,180998,323,1013,2,4,2003,Ja,Ja,Nein,Nein
791,153196,194,1825,3,3,1994,Ja,Nein,Nein,Ja
792,129716,223,939,2,4,1964,Ja,Ja,Nein,Ja
793,94647,200,669,1,2,1937,Ja,Nein,Nein,Ja
794,103697,206,1147,2,3,1951,Ja,Ja,Nein,Nein
795,86728,214,790,2,3,1917,Nein,Nein,Nein,Ja
796,129338,229,939,2,3,1977,Ja,Ja,Nein,Nein
797,131224,272,341,2,2,2008,Ja,Ja,Nein,Nein
798,144799,252,1052,3,4,1980,Ja,Ja,Nein,Nein
799,206640,282,1178,1,1,2004,Ja,Ja,Nein,Ja
800,200607,313,823,2,2,2005,Ja,Ja,Nein,Nein
